,question,page_id,document
56,"Что делать, если нужно следить за ребенком во время учебы?",86479030,"Заявление подается через личный кабинет на портале "" Вместе "". Отпуск по уходу за ребенком до достижения им возраста трех лет предоставляется обучающемуся, являющемуся матерью ( отцом, опекуном ) на основании личного заявления, к которому прилагается копия свидетельства о рождении ребенка. Отпуск по уходу за ребенком до достижения им возраста трех лет оформляется сроком не более трех лет с момента рождения ребенка и может быть использован полностью или по частям."
57,Как получить отпуск по уходу заребёнком?,86479030,"Заявление подается через личный кабинет на портале "" Вместе "". Отпуск по уходу за ребенком до достижения им возраста трех лет предоставляется обучающемуся, являющемуся матерью ( отцом, опекуном ) на основании личного заявления, к которому прилагается копия свидетельства о рождении ребенка. Отпуск по уходу за ребенком до достижения им возраста трех лет оформляется сроком не более трех лет с момента рождения ребенка и может быть использован полностью или по частям."
58,"Сколько максимум должно быть ребенку, чтобы я мог оформить отпуск по его уходу?",86479030,"Заявление подается через личный кабинет на портале "" Вместе "". Отпуск по уходу за ребенком до достижения им возраста трех лет предоставляется обучающемуся, являющемуся матерью ( отцом, опекуном ) на основании личного заявления, к которому прилагается копия свидетельства о рождении ребенка. Отпуск по уходу за ребенком до достижения им возраста трех лет оформляется сроком не более трех лет с момента рождения ребенка и может быть использован полностью или по частям."
59,"Что делать, если призвали в армию во время учебы?",86479032,"Заявление подается через личный кабинет на портале "" Вместе "". Основанием для принятия решения о предоставлении обучающемуся академического отпуска является : повестка военного комиссариата, содержащая время и место отправки к месту прохождения военной службу, в связи с призывом на военную службу. Дата начала отпуска - дата прибытия к месту службы. Отпуск предоставляется сроком на 1 год и 1 месяц от даты повестки."
60,"Меня призвали в армию, что делать?",86479032,"Заявление подается через личный кабинет на портале "" Вместе "". Основанием для принятия решения о предоставлении обучающемуся академического отпуска является : повестка военного комиссариата, содержащая время и место отправки к месту прохождения военной службу, в связи с призывом на военную службу. Дата начала отпуска - дата прибытия к месту службы. Отпуск предоставляется сроком на 1 год и 1 месяц от даты повестки."
61,Основания для академа по призыву,86479032,"Заявление подается через личный кабинет на портале "" Вместе "". Основанием для принятия решения о предоставлении обучающемуся академического отпуска является : повестка военного комиссариата, содержащая время и место отправки к месту прохождения военной службу, в связи с призывом на военную службу. Дата начала отпуска - дата прибытия к месту службы. Отпуск предоставляется сроком на 1 год и 1 месяц от даты повестки."
62,Когда подавать заявление для выхода из академа?,86479034,"Заявление на выход из отпуска подается не позднее, чем за три недели до его окончания. Дата подачи заявления должна быть текущей. Бланк заявления на выход из академического отпуска можете скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /. Вы можете подать заявление лично, обратившись в Единый деканат ( ул. Семакова, 18, холл 3 этаж ) с паспортом или студенческим билетом, либо направить подписанный своей рукой бланк на e - mail : ed @ utmn. ru"
63,Как выйти из академа?,86479034,"Заявление на выход из отпуска подается не позднее, чем за три недели до его окончания. Дата подачи заявления должна быть текущей. Бланк заявления на выход из академического отпуска можете скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /. Вы можете подать заявление лично, обратившись в Единый деканат ( ул. Семакова, 18, холл 3 этаж ) с паспортом или студенческим билетом, либо направить подписанный своей рукой бланк на e - mail : ed @ utmn. ru"
64,Как мне подать заявление о выходе с академа?,86479034,"Заявление на выход из отпуска подается не позднее, чем за три недели до его окончания. Дата подачи заявления должна быть текущей. Бланк заявления на выход из академического отпуска можете скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /. Вы можете подать заявление лично, обратившись в Единый деканат ( ул. Семакова, 18, холл 3 этаж ) с паспортом или студенческим билетом, либо направить подписанный своей рукой бланк на e - mail : ed @ utmn. ru"
65,Можно ли продлить академ?,86479036,"Для рассмотрения возможности продления академического отпуска необходимо подать два заявления : на выход из отпуска, на предоставление нового отпуска. Вы можете подать заявления лично, обратившись в Единый деканат ( ул Семакова, 18, холл 3 этаж ) с паспортом или студенческим билетом, либо направить подписанный своей рукой бланк на e - mail : ed @ utmn. ru Бланки заявления : https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /."
66,Как продлить академ?,86479036,"Для рассмотрения возможности продления академического отпуска необходимо подать два заявления : на выход из отпуска, на предоставление нового отпуска. Вы можете подать заявления лично, обратившись в Единый деканат ( ул Семакова, 18, холл 3 этаж ) с паспортом или студенческим билетом, либо направить подписанный своей рукой бланк на e - mail : ed @ utmn. ru Бланки заявления : https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /."
67,Куда отправить заполненные заявления для академа?,86479036,"Для рассмотрения возможности продления академического отпуска необходимо подать два заявления : на выход из отпуска, на предоставление нового отпуска. Вы можете подать заявления лично, обратившись в Единый деканат ( ул Семакова, 18, холл 3 этаж ) с паспортом или студенческим билетом, либо направить подписанный своей рукой бланк на e - mail : ed @ utmn. ru Бланки заявления : https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / otpusk /."
68,Какие доки нужны для перевода на другое направление?,86479041,"Заявления о переводе принимаются два раза в год, как правило : для студентов очной и очно [UNK] заочной форм обучения 2 курса и последующих : с одной образовательной программы на иную в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком, 1 курса ( 1 семестр ) ; с одной образовательной программы на иную в течение 2 ( двух ) недель от начала семестра в соответствии с календарным учебным графиком, 1 курса ( 2 семестр ) ; в течение 2 ( двух ) недель после окончания летней промежуточной аттестации в соответствии с календарным учебным графиком ; с одной формы обучения на другую : с очной на очно - заочную, с очно - заочной на очную [UNK] в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком ; с очной / очно - заочной формы обучения на заочную с 1 сентября соответствующего календарного года, но не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) в соответствии с календарным учебным графиком ; для студентов заочной формы обучения : с одной образовательной программы на иную не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) иной образовательной программы ; с одной формы обучения на другую ; с заочной на очную / очно [UNK] заочную форму обучения в первые 2 ( две ) недели начала семестра по очной / очно [UNK] заочной форме обучения в соответствии с календарным учебным графиком. Пакет документов для перевода : Заявление о переводе Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" Бланки заявлений можно скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - vnutri / Заявления Вы можете подать лично в « Едином деканате » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) или направить на электронную почту ed @ utmn. ru"
69,Как перевестись на другое направление?,86479041,"Заявления о переводе принимаются два раза в год, как правило : для студентов очной и очно [UNK] заочной форм обучения 2 курса и последующих : с одной образовательной программы на иную в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком, 1 курса ( 1 семестр ) ; с одной образовательной программы на иную в течение 2 ( двух ) недель от начала семестра в соответствии с календарным учебным графиком, 1 курса ( 2 семестр ) ; в течение 2 ( двух ) недель после окончания летней промежуточной аттестации в соответствии с календарным учебным графиком ; с одной формы обучения на другую : с очной на очно - заочную, с очно - заочной на очную [UNK] в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком ; с очной / очно - заочной формы обучения на заочную с 1 сентября соответствующего календарного года, но не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) в соответствии с календарным учебным графиком ; для студентов заочной формы обучения : с одной образовательной программы на иную не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) иной образовательной программы ; с одной формы обучения на другую ; с заочной на очную / очно [UNK] заочную форму обучения в первые 2 ( две ) недели начала семестра по очной / очно [UNK] заочной форме обучения в соответствии с календарным учебным графиком. Пакет документов для перевода : Заявление о переводе Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" Бланки заявлений можно скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - vnutri / Заявления Вы можете подать лично в « Едином деканате » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) или направить на электронную почту ed @ utmn. ru"
70,Как перевестись на другое направление на заочке?,86479041,"Заявления о переводе принимаются два раза в год, как правило : для студентов очной и очно [UNK] заочной форм обучения 2 курса и последующих : с одной образовательной программы на иную в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком, 1 курса ( 1 семестр ) ; с одной образовательной программы на иную в течение 2 ( двух ) недель от начала семестра в соответствии с календарным учебным графиком, 1 курса ( 2 семестр ) ; в течение 2 ( двух ) недель после окончания летней промежуточной аттестации в соответствии с календарным учебным графиком ; с одной формы обучения на другую : с очной на очно - заочную, с очно - заочной на очную [UNK] в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком ; с очной / очно - заочной формы обучения на заочную с 1 сентября соответствующего календарного года, но не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) в соответствии с календарным учебным графиком ; для студентов заочной формы обучения : с одной образовательной программы на иную не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) иной образовательной программы ; с одной формы обучения на другую ; с заочной на очную / очно [UNK] заочную форму обучения в первые 2 ( две ) недели начала семестра по очной / очно [UNK] заочной форме обучения в соответствии с календарным учебным графиком. Пакет документов для перевода : Заявление о переводе Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" Бланки заявлений можно скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - vnutri / Заявления Вы можете подать лично в « Едином деканате » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) или направить на электронную почту ed @ utmn. ru"
71,как перевестись на другое направление?,86479041,"Заявления о переводе принимаются два раза в год, как правило : для студентов очной и очно [UNK] заочной форм обучения 2 курса и последующих : с одной образовательной программы на иную в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком, 1 курса ( 1 семестр ) ; с одной образовательной программы на иную в течение 2 ( двух ) недель от начала семестра в соответствии с календарным учебным графиком, 1 курса ( 2 семестр ) ; в течение 2 ( двух ) недель после окончания летней промежуточной аттестации в соответствии с календарным учебным графиком ; с одной формы обучения на другую : с очной на очно - заочную, с очно - заочной на очную [UNK] в течение 2 ( двух ) недель после окончания летней / зимней промежуточной аттестации в соответствии с календарным учебным графиком ; с очной / очно - заочной формы обучения на заочную с 1 сентября соответствующего календарного года, но не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) в соответствии с календарным учебным графиком ; для студентов заочной формы обучения : с одной образовательной программы на иную не позднее, чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) иной образовательной программы ; с одной формы обучения на другую ; с заочной на очную / очно [UNK] заочную форму обучения в первые 2 ( две ) недели начала семестра по очной / очно [UNK] заочной форме обучения в соответствии с календарным учебным графиком. Пакет документов для перевода : Заявление о переводе Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" Бланки заявлений можно скачать по ссылке https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - vnutri / Заявления Вы можете подать лично в « Едином деканате » по адресу ул. Семакова, д. 18 ( 3 этаж, холл ) или направить на электронную почту ed @ utmn. ru"
72,Сколько делается приказ об отчислении при переводе в другой ВУЗ?,86479043,"Подать заявление на отчисление переводом можно : лично в Едином деканате ( ул. Семакова, 18, холл 3 этаж ). При себе иметь паспорт или студенческий билет ; в личном кабинете на портале "" Вместе "" ; с корпоративной студенческой почты на почту ed @ utmn. ru. ВАЖНО! К заявлению необходимо приложить справку о переводе и перечень изученных дисциплин, пройденных практик, выполненных научных исследований, которые будут перезачтены или переаттестованы обучающемуся при переводе. Приказ об отчислении переводом готовится в течение 5 ( пяти ) рабочих дней."
73,Как перевестись в другой ВУЗ?,86479043,"Подать заявление на отчисление переводом можно : лично в Едином деканате ( ул. Семакова, 18, холл 3 этаж ). При себе иметь паспорт или студенческий билет ; в личном кабинете на портале "" Вместе "" ; с корпоративной студенческой почты на почту ed @ utmn. ru. ВАЖНО! К заявлению необходимо приложить справку о переводе и перечень изученных дисциплин, пройденных практик, выполненных научных исследований, которые будут перезачтены или переаттестованы обучающемуся при переводе. Приказ об отчислении переводом готовится в течение 5 ( пяти ) рабочих дней."
74,Сколько ждать приказ об отчислении про переводе в другой вуз?,86479043,"Подать заявление на отчисление переводом можно : лично в Едином деканате ( ул. Семакова, 18, холл 3 этаж ). При себе иметь паспорт или студенческий билет ; в личном кабинете на портале "" Вместе "" ; с корпоративной студенческой почты на почту ed @ utmn. ru. ВАЖНО! К заявлению необходимо приложить справку о переводе и перечень изученных дисциплин, пройденных практик, выполненных научных исследований, которые будут перезачтены или переаттестованы обучающемуся при переводе. Приказ об отчислении переводом готовится в течение 5 ( пяти ) рабочих дней."
75,Как перевестись в ТюмГУ?,86479045,"1. Подать заявление о переводе можно лично, обратившись в Единый деканат, ул. Семакова, 18, холл 3 этаж ( при себе необходимо иметь паспорт и СНИЛС ), либо предоставив полный пакет документов на почту ed @ utmn. ru. Заявления о переводе по очной и очно - заочной формам обучения принимаются 2 ( раза ) в год, как правило, в осеннем и весеннем семестрах в течение 2 ( двух ) недель начала семестра в соответствии с календарным учебным графиком. По заочной форме обучения не позднее чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) по образовательной программе, на которую планируется перевод. Обучающийся представляет в Единый деканат ( ed @ utmn. ru ) справку о периоде обучения ( справку об обучении ) или сканированный вариант оригинала справки в PDF формате и письменное личное заявление или электронное личное заявление, отправленные с электронной почты. 2. Получить решение ТюмГУ - справку о переводе. ТюмГУ не позднее 10 ( десяти ) рабочих дней со дня подачи заявления о переводе принимает решение о возможности зачисления переводом. В случае положительного решения студенту выдается справка о переводе ( срок действия 15 рабочих дней с даты регистрации справки ). 3. Оформить отчисление в своей образовательной организации - подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе. 4. Оформить зачисление в ТюмГУ Для этого вы должны представить пакет документов : оригинал справки о периоде обучения, заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании ( оригинал указанного документа, в случае перевода на обучение за счет бюджетных ассигнований, или его копию, заверенную в установленном порядке, или его копию с предъявлением оригинала для заверения копии университетом ), оформить договор и оплатить ( в случае перевода на договорное место ). В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачисление в связи с переводом. В течение 5 ( пяти ) рабочих дней со дня издания приказа о зачислении в порядке перевода в Едином деканате ( филиале ) студенту выдаются студенческий билет и карта доступа в университет."
76,Я учусь в другом ВУЗе. Как я могу перевстись в ТюмГУ?,86479045,"1. Подать заявление о переводе можно лично, обратившись в Единый деканат, ул. Семакова, 18, холл 3 этаж ( при себе необходимо иметь паспорт и СНИЛС ), либо предоставив полный пакет документов на почту ed @ utmn. ru. Заявления о переводе по очной и очно - заочной формам обучения принимаются 2 ( раза ) в год, как правило, в осеннем и весеннем семестрах в течение 2 ( двух ) недель начала семестра в соответствии с календарным учебным графиком. По заочной форме обучения не позднее чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) по образовательной программе, на которую планируется перевод. Обучающийся представляет в Единый деканат ( ed @ utmn. ru ) справку о периоде обучения ( справку об обучении ) или сканированный вариант оригинала справки в PDF формате и письменное личное заявление или электронное личное заявление, отправленные с электронной почты. 2. Получить решение ТюмГУ - справку о переводе. ТюмГУ не позднее 10 ( десяти ) рабочих дней со дня подачи заявления о переводе принимает решение о возможности зачисления переводом. В случае положительного решения студенту выдается справка о переводе ( срок действия 15 рабочих дней с даты регистрации справки ). 3. Оформить отчисление в своей образовательной организации - подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе. 4. Оформить зачисление в ТюмГУ Для этого вы должны представить пакет документов : оригинал справки о периоде обучения, заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании ( оригинал указанного документа, в случае перевода на обучение за счет бюджетных ассигнований, или его копию, заверенную в установленном порядке, или его копию с предъявлением оригинала для заверения копии университетом ), оформить договор и оплатить ( в случае перевода на договорное место ). В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачисление в связи с переводом. В течение 5 ( пяти ) рабочих дней со дня издания приказа о зачислении в порядке перевода в Едином деканате ( филиале ) студенту выдаются студенческий билет и карта доступа в университет."
77,Когда мне выдадут студенческий билет после перевода?,86479045,"1. Подать заявление о переводе можно лично, обратившись в Единый деканат, ул. Семакова, 18, холл 3 этаж ( при себе необходимо иметь паспорт и СНИЛС ), либо предоставив полный пакет документов на почту ed @ utmn. ru. Заявления о переводе по очной и очно - заочной формам обучения принимаются 2 ( раза ) в год, как правило, в осеннем и весеннем семестрах в течение 2 ( двух ) недель начала семестра в соответствии с календарным учебным графиком. По заочной форме обучения не позднее чем за 2 ( два ) месяца до начала промежуточной аттестации / практики текущего семестра ( триместра, модуля ) по образовательной программе, на которую планируется перевод. Обучающийся представляет в Единый деканат ( ed @ utmn. ru ) справку о периоде обучения ( справку об обучении ) или сканированный вариант оригинала справки в PDF формате и письменное личное заявление или электронное личное заявление, отправленные с электронной почты. 2. Получить решение ТюмГУ - справку о переводе. ТюмГУ не позднее 10 ( десяти ) рабочих дней со дня подачи заявления о переводе принимает решение о возможности зачисления переводом. В случае положительного решения студенту выдается справка о переводе ( срок действия 15 рабочих дней с даты регистрации справки ). 3. Оформить отчисление в своей образовательной организации - подать заявление на отчисление переводом в ТюмГУ в своем ВУЗе с приложением справки о переводе. 4. Оформить зачисление в ТюмГУ Для этого вы должны представить пакет документов : оригинал справки о периоде обучения, заверенную копию приказа об отчислении в связи с переводом или выписку из указанного приказа, документ о предшествующем образовании ( оригинал указанного документа, в случае перевода на обучение за счет бюджетных ассигнований, или его копию, заверенную в установленном порядке, или его копию с предъявлением оригинала для заверения копии университетом ), оформить договор и оплатить ( в случае перевода на договорное место ). В течение пяти рабочих дней после поступления данных документов в ТюмГУ издается приказ о вашем зачисление в связи с переводом. В течение 5 ( пяти ) рабочих дней со дня издания приказа о зачислении в порядке перевода в Едином деканате ( филиале ) студенту выдаются студенческий билет и карта доступа в университет."
78,Какие доки нужны для перевода в ТюмГУ из другого ВУЗа?,86479047,"Пакет документов для подачи заявления на перевод : 1. Заявление о зачислении переводом https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 2. Справка о периоде обучения ( академическая справка ) ; 3. Справка о подтверждении обучения ( для студентов, обучающихся на бюджетной основе ) ; 4. Копия зачетной книжки ( для студентов, обучающихся нa бюджетной основе ) : 5. Копия паспорта ( страница с фото + регистрация ) ; 6. Копия лицензии и свидетельство об аккредитации ВУЗа с приложениями ; 7. Согласие на обработку персональных данных https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 8. Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 9. Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 10. СНИЛС ( при наличии ). Пакет документов для зачисления в ТюмГУ : 1. Выписка из приказа об отчислении переводом ( заверенная копия приказа об отчислении переводом ) 2. Оригинал справки о периоде обучения ( академической справки ) 3. Документ о предыдущем образовании 4. Одна фотография 3 * 4 для оформления студенческого билета 5. Подписанный договор и оплата обучения ( для студентов, зачисляющихся на договорное место ) ВАЖНО!!! В случае перевода на договорное место, необходимо заключить договор и произвести оплату в течение двух рабочих ‚ дней с момента уведомления о необходимости заключения договора работником отдела платных образовательных услуг. В случае несвоевременной оплаты Университет вправе отказать в процедуре перевода."
79,Какие документы нужны для перевода в ТюмГУ из другого ВУЗа?,86479047,"Пакет документов для подачи заявления на перевод : 1. Заявление о зачислении переводом https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 2. Справка о периоде обучения ( академическая справка ) ; 3. Справка о подтверждении обучения ( для студентов, обучающихся на бюджетной основе ) ; 4. Копия зачетной книжки ( для студентов, обучающихся нa бюджетной основе ) : 5. Копия паспорта ( страница с фото + регистрация ) ; 6. Копия лицензии и свидетельство об аккредитации ВУЗа с приложениями ; 7. Согласие на обработку персональных данных https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 8. Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 9. Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 10. СНИЛС ( при наличии ). Пакет документов для зачисления в ТюмГУ : 1. Выписка из приказа об отчислении переводом ( заверенная копия приказа об отчислении переводом ) 2. Оригинал справки о периоде обучения ( академической справки ) 3. Документ о предыдущем образовании 4. Одна фотография 3 * 4 для оформления студенческого билета 5. Подписанный договор и оплата обучения ( для студентов, зачисляющихся на договорное место ) ВАЖНО!!! В случае перевода на договорное место, необходимо заключить договор и произвести оплату в течение двух рабочих ‚ дней с момента уведомления о необходимости заключения договора работником отдела платных образовательных услуг. В случае несвоевременной оплаты Университет вправе отказать в процедуре перевода."
80,Перечень документов для перевода в ТюмГУ,86479047,"Пакет документов для подачи заявления на перевод : 1. Заявление о зачислении переводом https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 2. Справка о периоде обучения ( академическая справка ) ; 3. Справка о подтверждении обучения ( для студентов, обучающихся на бюджетной основе ) ; 4. Копия зачетной книжки ( для студентов, обучающихся нa бюджетной основе ) : 5. Копия паспорта ( страница с фото + регистрация ) ; 6. Копия лицензии и свидетельство об аккредитации ВУЗа с приложениями ; 7. Согласие на обработку персональных данных https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 8. Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 9. Заявление на перезачет с оценки "" зачтено "" на "" удовлетворительно "" https : / / www. utmn. ru / o - tyumgu / organizatsionnaya - skhema - tyumgu / edinyy - dekanat / blanki - zayavleniy / perevod - iz - drugogo - vuza / ; 10. СНИЛС ( при наличии ). Пакет документов для зачисления в ТюмГУ : 1. Выписка из приказа об отчислении переводом ( заверенная копия приказа об отчислении переводом ) 2. Оригинал справки о периоде обучения ( академической справки ) 3. Документ о предыдущем образовании 4. Одна фотография 3 * 4 для оформления студенческого билета 5. Подписанный договор и оплата обучения ( для студентов, зачисляющихся на договорное место ) ВАЖНО!!! В случае перевода на договорное место, необходимо заключить договор и произвести оплату в течение двух рабочих ‚ дней с момента уведомления о необходимости заключения договора работником отдела платных образовательных услуг. В случае несвоевременной оплаты Университет вправе отказать в процедуре перевода."
81,Куда обращаться по поводу оплаты обучения?,86479050,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов обратитесь в отдел платных образовательных услуг, написав на почту udodep @ utmn. ru или позвонив по телефону ( 3452 ) 59 - 74 - 00, доб. 14312, либо 14314, либо 14362. Адрес отдела платных образовательных услуг : ул. Ленина, д. 16, каб. 105. Для оплаты за обучение материнским капиталом напишите запрос на получение документов на почту udodep @ utmn. ru отдела платных образовательных услуг. На данный момент действует приказ 363 - 1 о предоставлении рассрочки по оплате за обучение ознакомиться с приказом можно на сайте utmn. ru в разделе "" Стоимость обучения "", заполненное заявление вместе с подтверждающими документами направьте на почту udodep @ utmn. ru или 12222 @ utmn. ru Сроки оплаты по договору у студентов очной формы обучения до 1 июля и до 15 декабря соответствующего года, у студентов заочной и очно - заочной формы обучения за 30 дней до начала сессии."
82,Когда я должен заплатить за обучение?,86479050,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов обратитесь в отдел платных образовательных услуг, написав на почту udodep @ utmn. ru или позвонив по телефону ( 3452 ) 59 - 74 - 00, доб. 14312, либо 14314, либо 14362. Адрес отдела платных образовательных услуг : ул. Ленина, д. 16, каб. 105. Для оплаты за обучение материнским капиталом напишите запрос на получение документов на почту udodep @ utmn. ru отдела платных образовательных услуг. На данный момент действует приказ 363 - 1 о предоставлении рассрочки по оплате за обучение ознакомиться с приказом можно на сайте utmn. ru в разделе "" Стоимость обучения "", заполненное заявление вместе с подтверждающими документами направьте на почту udodep @ utmn. ru или 12222 @ utmn. ru Сроки оплаты по договору у студентов очной формы обучения до 1 июля и до 15 декабря соответствующего года, у студентов заочной и очно - заочной формы обучения за 30 дней до начала сессии."
83,Сколько у меня есть времени для оплаты обучения?,86479050,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов обратитесь в отдел платных образовательных услуг, написав на почту udodep @ utmn. ru или позвонив по телефону ( 3452 ) 59 - 74 - 00, доб. 14312, либо 14314, либо 14362. Адрес отдела платных образовательных услуг : ул. Ленина, д. 16, каб. 105. Для оплаты за обучение материнским капиталом напишите запрос на получение документов на почту udodep @ utmn. ru отдела платных образовательных услуг. На данный момент действует приказ 363 - 1 о предоставлении рассрочки по оплате за обучение ознакомиться с приказом можно на сайте utmn. ru в разделе "" Стоимость обучения "", заполненное заявление вместе с подтверждающими документами направьте на почту udodep @ utmn. ru или 12222 @ utmn. ru Сроки оплаты по договору у студентов очной формы обучения до 1 июля и до 15 декабря соответствующего года, у студентов заочной и очно - заочной формы обучения за 30 дней до начала сессии."
