,question,document
26,Как подать заявление на восстановление студенческого билета?,"Для  восстановления студенческого билета  Вам необходимо подать заявление в Едином деканате (ул. Семакова, д.18, холл 3 этажа). При себе иметь фото 3*4 и паспорт.  Чтобы  продлить студенческий билет , необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт (ул. Семакова, д.18, каб.302 либо 305). Если Вы  потеряли магнитную карту  (пропуск, проходка), необходимо подать заявление на ее восстановление в Едином деканате (ул. Семакова, д.18, 3 этаж). При себе иметь паспорт или студенческий билет. Если Ваша  магнитная карта (пропуск, проходка) не работает , необходимо обратиться в Центр информационных технологий по адресу: ул. Ленина, д.23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет."
27,Какие документы нужны для подачи заявления на восстановление студенческого билета?,"Для  восстановления студенческого билета  Вам необходимо подать заявление в Едином деканате (ул. Семакова, д.18, холл 3 этажа). При себе иметь фото 3*4 и паспорт.  Чтобы  продлить студенческий билет , необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт (ул. Семакова, д.18, каб.302 либо 305). Если Вы  потеряли магнитную карту  (пропуск, проходка), необходимо подать заявление на ее восстановление в Едином деканате (ул. Семакова, д.18, 3 этаж). При себе иметь паспорт или студенческий билет. Если Ваша  магнитная карта (пропуск, проходка) не работает , необходимо обратиться в Центр информационных технологий по адресу: ул. Ленина, д.23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет."
28,Как продлить студенческий билет?,"Для  восстановления студенческого билета  Вам необходимо подать заявление в Едином деканате (ул. Семакова, д.18, холл 3 этажа). При себе иметь фото 3*4 и паспорт.  Чтобы  продлить студенческий билет , необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт (ул. Семакова, д.18, каб.302 либо 305). Если Вы  потеряли магнитную карту  (пропуск, проходка), необходимо подать заявление на ее восстановление в Едином деканате (ул. Семакова, д.18, 3 этаж). При себе иметь паспорт или студенческий билет. Если Ваша  магнитная карта (пропуск, проходка) не работает , необходимо обратиться в Центр информационных технологий по адресу: ул. Ленина, д.23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет."
29,"Что делать, если потерял магзинную карту?","Для  восстановления студенческого билета  Вам необходимо подать заявление в Едином деканате (ул. Семакова, д.18, холл 3 этажа). При себе иметь фото 3*4 и паспорт.  Чтобы  продлить студенческий билет , необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт (ул. Семакова, д.18, каб.302 либо 305). Если Вы  потеряли магнитную карту  (пропуск, проходка), необходимо подать заявление на ее восстановление в Едином деканате (ул. Семакова, д.18, 3 этаж). При себе иметь паспорт или студенческий билет. Если Ваша  магнитная карта (пропуск, проходка) не работает , необходимо обратиться в Центр информационных технологий по адресу: ул. Ленина, д.23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет."
32,Где можно подать заявку на оформление академической справки?,"Для оформления академической справки (справки о периоде обучения) Вам необходимо подать заявку в «Единый деканат» по адресу ул. Семакова, д. 18 (3 этаж, холл) либо на электронную почту  ed@utmn.ru . Академическая справка готовится в течение 5 (пяти) рабочих дней."
33,Какой адрес Единого деканата?,"Для оформления академической справки (справки о периоде обучения) Вам необходимо подать заявку в «Единый деканат» по адресу ул. Семакова, д. 18 (3 этаж, холл) либо на электронную почту  ed@utmn.ru . Академическая справка готовится в течение 5 (пяти) рабочих дней."
34,На какой электронной почте можно отправить заявку на оформление академической справки?,"Для оформления академической справки (справки о периоде обучения) Вам необходимо подать заявку в «Единый деканат» по адресу ул. Семакова, д. 18 (3 этаж, холл) либо на электронную почту  ed@utmn.ru . Академическая справка готовится в течение 5 (пяти) рабочих дней."
35,Сколько времени занимает подготовка академической справки?,"Для оформления академической справки (справки о периоде обучения) Вам необходимо подать заявку в «Единый деканат» по адресу ул. Семакова, д. 18 (3 этаж, холл) либо на электронную почту  ed@utmn.ru . Академическая справка готовится в течение 5 (пяти) рабочих дней."
36,Какое количество рабочих дней требуется для подготовки академической справки?,"Для оформления академической справки (справки о периоде обучения) Вам необходимо подать заявку в «Единый деканат» по адресу ул. Семакова, д. 18 (3 этаж, холл) либо на электронную почту  ed@utmn.ru . Академическая справка готовится в течение 5 (пяти) рабочих дней."
39,Где находится Отдел мобилизационной подготовки?,"Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу: ул. Перекопская, 15А каб.408  Телефон: (3452) 59-75-83"
40,Какой номер телефона у Отдела мобилизационной подготовки?,"Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу: ул. Перекопская, 15А каб.408  Телефон: (3452) 59-75-83"
41,"Как называется улица, на которой находится Отдел мобилизационной подготовки?","Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу: ул. Перекопская, 15А каб.408  Телефон: (3452) 59-75-83"
42,Какой номер кабинета в Отделе мобилизационной подготовки?,"Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу: ул. Перекопская, 15А каб.408  Телефон: (3452) 59-75-83"
43,"Какое здание находится по адресу ул. Перекопская, 15А?","Вам необходимо обратиться в Отдел мобилизационной подготовки по адресу: ул. Перекопская, 15А каб.408  Телефон: (3452) 59-75-83"
46,Где находится Центр по работе с общежитиями?,"По вопросам, касающимся общежития, обратитесь в Центр по работе с общежитиями. Адрес: ул. Красина, д.19 (общежитие №5), телефон: (3452) 59-75-69"
47,Как мне добраться до Центра по работе с общежитиями?,"По вопросам, касающимся общежития, обратитесь в Центр по работе с общежитиями. Адрес: ул. Красина, д.19 (общежитие №5), телефон: (3452) 59-75-69"
48,Какие услуги предоставляет Центр по работе с общежитиями?,"По вопросам, касающимся общежития, обратитесь в Центр по работе с общежитиями. Адрес: ул. Красина, д.19 (общежитие №5), телефон: (3452) 59-75-69"
49,"Какое общежитие находится по адресу ул. Красина, д.19?","По вопросам, касающимся общежития, обратитесь в Центр по работе с общежитиями. Адрес: ул. Красина, д.19 (общежитие №5), телефон: (3452) 59-75-69"
50,Какой номер телефона у Центра по работе с общежитиями?,"По вопросам, касающимся общежития, обратитесь в Центр по работе с общежитиями. Адрес: ул. Красина, д.19 (общежитие №5), телефон: (3452) 59-75-69"
51,Как подать заявление на академический отпуск?,"Заявление на академический отпуск подается через личный кабинет на портале ""Вместе"" в разделе ""Заявления"".  ВАЖНО! Заявление на отпуск не может быть подано: 1. в период прохождения госаттестации; 2. в случае несдачи комиссионной пересдачи. Согласно п.1.4 ""Положения о порядке предоставления и выхода из академического отпуска и иных отпусков для обучающихся ФГАОУ ВО ТюмГУ: Решение о предоставлении отпуска принимается в течение 10 (десяти) дней со дня подачи обучающимся заявления и прилагаемых к нему документов (при наличии). Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и/или нерабочим днем. За 3 недели до даты окончания отпуска необходимо будет подать заявление на выход из академического отпуска.  Бланк заявления на выход из академического отпуска можете скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/otpusk/ ."
52,Какие условия должны быть выполнены для подачи заявления на отпуск?,"Заявление на академический отпуск подается через личный кабинет на портале ""Вместе"" в разделе ""Заявления"".  ВАЖНО! Заявление на отпуск не может быть подано: 1. в период прохождения госаттестации; 2. в случае несдачи комиссионной пересдачи. Согласно п.1.4 ""Положения о порядке предоставления и выхода из академического отпуска и иных отпусков для обучающихся ФГАОУ ВО ТюмГУ: Решение о предоставлении отпуска принимается в течение 10 (десяти) дней со дня подачи обучающимся заявления и прилагаемых к нему документов (при наличии). Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и/или нерабочим днем. За 3 недели до даты окончания отпуска необходимо будет подать заявление на выход из академического отпуска.  Бланк заявления на выход из академического отпуска можете скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/otpusk/ ."
53,Каков срок принятия решения о предоставлении отпуска?,"Заявление на академический отпуск подается через личный кабинет на портале ""Вместе"" в разделе ""Заявления"".  ВАЖНО! Заявление на отпуск не может быть подано: 1. в период прохождения госаттестации; 2. в случае несдачи комиссионной пересдачи. Согласно п.1.4 ""Положения о порядке предоставления и выхода из академического отпуска и иных отпусков для обучающихся ФГАОУ ВО ТюмГУ: Решение о предоставлении отпуска принимается в течение 10 (десяти) дней со дня подачи обучающимся заявления и прилагаемых к нему документов (при наличии). Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и/или нерабочим днем. За 3 недели до даты окончания отпуска необходимо будет подать заявление на выход из академического отпуска.  Бланк заявления на выход из академического отпуска можете скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/otpusk/ ."
54,Когда необходимо подать заявление на выход из академического отпуска?,"Заявление на академический отпуск подается через личный кабинет на портале ""Вместе"" в разделе ""Заявления"".  ВАЖНО! Заявление на отпуск не может быть подано: 1. в период прохождения госаттестации; 2. в случае несдачи комиссионной пересдачи. Согласно п.1.4 ""Положения о порядке предоставления и выхода из академического отпуска и иных отпусков для обучающихся ФГАОУ ВО ТюмГУ: Решение о предоставлении отпуска принимается в течение 10 (десяти) дней со дня подачи обучающимся заявления и прилагаемых к нему документов (при наличии). Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и/или нерабочим днем. За 3 недели до даты окончания отпуска необходимо будет подать заявление на выход из академического отпуска.  Бланк заявления на выход из академического отпуска можете скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/otpusk/ ."
55,Где можно скачать бланк заявления на выход из академического отпуска?,"Заявление на академический отпуск подается через личный кабинет на портале ""Вместе"" в разделе ""Заявления"".  ВАЖНО! Заявление на отпуск не может быть подано: 1. в период прохождения госаттестации; 2. в случае несдачи комиссионной пересдачи. Согласно п.1.4 ""Положения о порядке предоставления и выхода из академического отпуска и иных отпусков для обучающихся ФГАОУ ВО ТюмГУ: Решение о предоставлении отпуска принимается в течение 10 (десяти) дней со дня подачи обучающимся заявления и прилагаемых к нему документов (при наличии). Дата подачи заявления и начала отпуска, без подтверждающих документов, не может быть праздничным и/или нерабочим днем. За 3 недели до даты окончания отпуска необходимо будет подать заявление на выход из академического отпуска.  Бланк заявления на выход из академического отпуска можете скачать по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/otpusk/ ."
56,Где находится Единый деканат и как туда можно обратиться?,"Пакет документов для восстановления вам необходимо принести в Единый деканат, ул Семакова, 18, холл 3 этаж или отправить на e-mail:  ed@utmn.ru : Заявление  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ , Копия паспорта (страница с фото+регистрация), если паспорт иностранного гражданина, то необходимо предоставить нотариально заверенный перевод паспорта,  Копия СНИЛС, Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Документы, подтверждающие смену ФИО (при необходимости) Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/upload/medialibrary/e93/Perezachet-distsiplin-s-zachteno-na-udovletvoritelno.pdf"
57,Какие документы необходимо предоставить для восстановления?,"Пакет документов для восстановления вам необходимо принести в Единый деканат, ул Семакова, 18, холл 3 этаж или отправить на e-mail:  ed@utmn.ru : Заявление  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ , Копия паспорта (страница с фото+регистрация), если паспорт иностранного гражданина, то необходимо предоставить нотариально заверенный перевод паспорта,  Копия СНИЛС, Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Документы, подтверждающие смену ФИО (при необходимости) Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/upload/medialibrary/e93/Perezachet-distsiplin-s-zachteno-na-udovletvoritelno.pdf"
58,Как правильно заполнить заявление на восстановление?,"Пакет документов для восстановления вам необходимо принести в Единый деканат, ул Семакова, 18, холл 3 этаж или отправить на e-mail:  ed@utmn.ru : Заявление  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ , Копия паспорта (страница с фото+регистрация), если паспорт иностранного гражданина, то необходимо предоставить нотариально заверенный перевод паспорта,  Копия СНИЛС, Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Документы, подтверждающие смену ФИО (при необходимости) Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/upload/medialibrary/e93/Perezachet-distsiplin-s-zachteno-na-udovletvoritelno.pdf"
59,Что такое СНИЛС и как его можно предоставить?,"Пакет документов для восстановления вам необходимо принести в Единый деканат, ул Семакова, 18, холл 3 этаж или отправить на e-mail:  ed@utmn.ru : Заявление  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ , Копия паспорта (страница с фото+регистрация), если паспорт иностранного гражданина, то необходимо предоставить нотариально заверенный перевод паспорта,  Копия СНИЛС, Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Документы, подтверждающие смену ФИО (при необходимости) Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/upload/medialibrary/e93/Perezachet-distsiplin-s-zachteno-na-udovletvoritelno.pdf"
60,Как заполнить согласие на обработку персональных данных и согласие на распространение персональных данных?,"Пакет документов для восстановления вам необходимо принести в Единый деканат, ул Семакова, 18, холл 3 этаж или отправить на e-mail:  ed@utmn.ru : Заявление  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ , Копия паспорта (страница с фото+регистрация), если паспорт иностранного гражданина, то необходимо предоставить нотариально заверенный перевод паспорта,  Копия СНИЛС, Согласие на обработку персональных данных  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Согласие на обработку персональных данных, разрешенных субъектом персональных данных для распространения  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/vosstanovlenie/ Документы, подтверждающие смену ФИО (при необходимости) Заявление на перезачет с оценки ""зачтено"" на ""удовлетворительно""  https://www.utmn.ru/upload/medialibrary/e93/Perezachet-distsiplin-s-zachteno-na-udovletvoritelno.pdf"
63,"Какие условия должны быть соблюдены для восстановления лица, обучавшегося за счет бюджетных ассигнований?","Восстановление лица , ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей  форме обучения, соответствующему направлению подготовки (специальности) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг."
64,Какие формы обучения и направления подготовки (специальности) могут быть учтены при восстановлении?,"Восстановление лица , ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей  форме обучения, соответствующему направлению подготовки (специальности) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг."
65,На какой курс может быть восстановлено лицо?,"Восстановление лица , ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей  форме обучения, соответствующему направлению подготовки (специальности) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг."
66,Как происходит конкурс для восстановления?,"Восстановление лица , ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей  форме обучения, соответствующему направлению подготовки (специальности) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг."
67,Какие последствия будут после последующих восстановлений?,"Восстановление лица , ранее обучавшегося за счет бюджетных ассигнований федерального бюджета, бюджетов субъектов Российской Федерации, осуществляется однократно с сохранением прежних условий основания обучения, при наличии вакантных мест по соответствующей  форме обучения, соответствующему направлению подготовки (специальности) и на курсе на конкурсной основе решением аттестационной комиссии. Последующие восстановления производятся на место по договору об оказании платных образовательных услуг."
68,Когда можно повторно пройти государственную итоговую аттестацию?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
69,Сколько раз можно повторно пройти государственную итоговую аттестацию?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
70,Когда принимаются заявления на восстановление для прохождения государственной итоговой аттестации?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
71,Каков срок подачи заявлений на восстановление для прохождения государственной итоговой аттестации?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
72,Где можно найти информацию о календарном учебном графике для подготовки к итоговым испытаниям?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
73,Когда можно повторно пройти государственную итоговую аттестацию?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
74,Сколько раз можно повторно пройти государственную итоговую аттестацию?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
75,Когда принимаются заявления на восстановление для прохождения государственной итоговой аттестации?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
76,Каков срок подачи заявлений на восстановление для прохождения государственной итоговой аттестации?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
77,Где можно найти информацию о календарном учебном графике для подготовки к итоговым испытаниям?,Повторно пройти государственную итоговую аттестацию можно не ранее чем через 10 месяцев и не позднее чем через пять лет после срока проведения ГИА.   Повторно пройти государственную итоговую аттестацию можно не более двух раз.  Заявления на восстановление для прохождения государственной итоговой аттестации принимаются не позднее 3 (трех) недель до начала подготовки к итоговым испытаниям в соответствии с утвержденным календарным учебным графиком на текущий учебный год  https://www.utmn.ru/obrazovanie/vysshee-obrazovanie/grafiki-uchebnogo-protsessa/
