,question,document
58,Что я должен сделать после получения справки о согласии на перевод в принимающей образовательной организации?,"Для перевода в другую образовательную организацию обучающемуся необходимо: 1.Заказать справку о периоде обучения (справку об обучении). Обучающийся, желающий быть переведенным в другую образовательную организацию представляет в Единый деканат лично или по личной корпоративной электронной почте на электронный адрес  ed@utmn.ru  заявку на выдачу справки о периоде обучения (справки об обучении).  Академическая справка готовится в течение 5 (пяти) рабочих дней.   2.  Обратиться в принимающую образовательную организацию с заявлением о переводе и справкой о периоде обучения (справкой об обучении). 3.  Получить справку о согласии на перевод в принимающей образовательной организации.  4. Оформить отчисление в ТюмГУ: в  личном кабинете на портале «Вместе» обучающийся подает заявление об отчислении в порядке перевода в другой вуз с приложением справки о переводе и перечня изученных дисциплин, пройденных практик, выполненных научных исследований, которые будут перезачтены или переаттестованы обучающемуся при переводе (при наличии). В течение 5 (пяти) рабочих дней со дня представления пакета документов в Единый деканат издается приказ об отчислении обучающегося в связи с переводом в другую образовательную организацию."
59,"Какие документы необходимо предоставить для перевода из другого вуза в ТюмГУ, если обучаешься заочной формой?","Заявления о переводе принимаются: по очной и очно-заочной формам обучения в осеннем и весеннем семестрах в течение 2 (двух) недель начала семестра в соответствии с календарным учебным графиком ;   по заочной форме обучения не позднее чем за 2 (два) месяца до начала промежуточной аттестации/практики текущего семестра (триместра, модуля) по образовательной программе, на которую планируется перевод. Необходимый пакет документов: 1) Заявление о зачислении переводом  2) Заявление на перезачет дисциплин с оценки «зачтено» на «удовлетворительно»  3) Согласие на обработку персональных данных  4) Согласие на обработку персональных данных, разрешенных для распространения  5) Справка о периоде обучения (справка об обучении, академическая справка). Данная справка обязательно должна содержать перечень и объем изученных учебных дисциплин, пройденных практик, оценки, выставленные при проведении промежуточной аттестации. 6) Копия лицензии с приложениями ВУЗа, в котором обучается студент 7) Копия аккредитации с приложениями ВУЗа, в котором обучается студент 8) Копия паспорта (страница с фото + регистрация). Если паспорт иностранного гражданина, то нотариально заверенный перевод паспорта. 9) Копия СНИЛС (при наличии) Бланки заявлений и согласий на обработку персональных данных доступны по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/   Заявление о зачислении переводом рассматривается в течение 10 (десяти) рабочих дней.  В случае положительного решения о зачислении переводом в течение 5 рабочих дней оформляется справка о переводе с приложением перечня изученных учебных дисциплин, пройденных практик, выполненных научных исследований, которые будут перезачтены или переаттестованы при переводе.  Студенту, которому выдана справка о зачислении переводом, не может быть отказано в переводе в Университет при условии предоставления им документа об образовании и справки об обучении в течение 15 (пятнадцати) рабочих дней со дня регистрации справки о зачислении переводом. Для завершения процедуры зачисления переводом в ТюмГУ после получения справки-согласия необходимо представить в ТюмГУ дополнительно к ранее представленным документам: оригинал справки о периоде обучения (справки об обучении),  заверенную копию приказа об отчислении в связи с переводом и (или) выписку из приказа об отчислении в связи с переводом,  документ о предшествующем образовании (оригинал указанного документа (в случае перевода на обучение за счет бюджетных ассигнований) или его копию, заверенную в установленном порядке, или его  копию с предъявлением оригинала для заверения копии Университетом, фотографию 3*4."
60,Можно ли подавать заявление о переводе в ТюмГУ в течение всего учебного года или есть определенные сроки?,"Заявления о переводе принимаются: по очной и очно-заочной формам обучения в осеннем и весеннем семестрах в течение 2 (двух) недель начала семестра в соответствии с календарным учебным графиком ;   по заочной форме обучения не позднее чем за 2 (два) месяца до начала промежуточной аттестации/практики текущего семестра (триместра, модуля) по образовательной программе, на которую планируется перевод. Необходимый пакет документов: 1) Заявление о зачислении переводом  2) Заявление на перезачет дисциплин с оценки «зачтено» на «удовлетворительно»  3) Согласие на обработку персональных данных  4) Согласие на обработку персональных данных, разрешенных для распространения  5) Справка о периоде обучения (справка об обучении, академическая справка). Данная справка обязательно должна содержать перечень и объем изученных учебных дисциплин, пройденных практик, оценки, выставленные при проведении промежуточной аттестации. 6) Копия лицензии с приложениями ВУЗа, в котором обучается студент 7) Копия аккредитации с приложениями ВУЗа, в котором обучается студент 8) Копия паспорта (страница с фото + регистрация). Если паспорт иностранного гражданина, то нотариально заверенный перевод паспорта. 9) Копия СНИЛС (при наличии) Бланки заявлений и согласий на обработку персональных данных доступны по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/   Заявление о зачислении переводом рассматривается в течение 10 (десяти) рабочих дней.  В случае положительного решения о зачислении переводом в течение 5 рабочих дней оформляется справка о переводе с приложением перечня изученных учебных дисциплин, пройденных практик, выполненных научных исследований, которые будут перезачтены или переаттестованы при переводе.  Студенту, которому выдана справка о зачислении переводом, не может быть отказано в переводе в Университет при условии предоставления им документа об образовании и справки об обучении в течение 15 (пятнадцати) рабочих дней со дня регистрации справки о зачислении переводом. Для завершения процедуры зачисления переводом в ТюмГУ после получения справки-согласия необходимо представить в ТюмГУ дополнительно к ранее представленным документам: оригинал справки о периоде обучения (справки об обучении),  заверенную копию приказа об отчислении в связи с переводом и (или) выписку из приказа об отчислении в связи с переводом,  документ о предшествующем образовании (оригинал указанного документа (в случае перевода на обучение за счет бюджетных ассигнований) или его копию, заверенную в установленном порядке, или его  копию с предъявлением оригинала для заверения копии Университетом, фотографию 3*4."
61,"Что делать, если после получения справки о зачислении переводом, мне отказывают в переводе в ТюмГУ без предоставления документов об образовании и обучении?","Заявления о переводе принимаются: по очной и очно-заочной формам обучения в осеннем и весеннем семестрах в течение 2 (двух) недель начала семестра в соответствии с календарным учебным графиком ;   по заочной форме обучения не позднее чем за 2 (два) месяца до начала промежуточной аттестации/практики текущего семестра (триместра, модуля) по образовательной программе, на которую планируется перевод. Необходимый пакет документов: 1) Заявление о зачислении переводом  2) Заявление на перезачет дисциплин с оценки «зачтено» на «удовлетворительно»  3) Согласие на обработку персональных данных  4) Согласие на обработку персональных данных, разрешенных для распространения  5) Справка о периоде обучения (справка об обучении, академическая справка). Данная справка обязательно должна содержать перечень и объем изученных учебных дисциплин, пройденных практик, оценки, выставленные при проведении промежуточной аттестации. 6) Копия лицензии с приложениями ВУЗа, в котором обучается студент 7) Копия аккредитации с приложениями ВУЗа, в котором обучается студент 8) Копия паспорта (страница с фото + регистрация). Если паспорт иностранного гражданина, то нотариально заверенный перевод паспорта. 9) Копия СНИЛС (при наличии) Бланки заявлений и согласий на обработку персональных данных доступны по ссылке  https://www.utmn.ru/o-tyumgu/organizatsionnaya-skhema-tyumgu/edinyy-dekanat/blanki-zayavleniy/perevod-iz-drugogo-vuza/   Заявление о зачислении переводом рассматривается в течение 10 (десяти) рабочих дней.  В случае положительного решения о зачислении переводом в течение 5 рабочих дней оформляется справка о переводе с приложением перечня изученных учебных дисциплин, пройденных практик, выполненных научных исследований, которые будут перезачтены или переаттестованы при переводе.  Студенту, которому выдана справка о зачислении переводом, не может быть отказано в переводе в Университет при условии предоставления им документа об образовании и справки об обучении в течение 15 (пятнадцати) рабочих дней со дня регистрации справки о зачислении переводом. Для завершения процедуры зачисления переводом в ТюмГУ после получения справки-согласия необходимо представить в ТюмГУ дополнительно к ранее представленным документам: оригинал справки о периоде обучения (справки об обучении),  заверенную копию приказа об отчислении в связи с переводом и (или) выписку из приказа об отчислении в связи с переводом,  документ о предшествующем образовании (оригинал указанного документа (в случае перевода на обучение за счет бюджетных ассигнований) или его копию, заверенную в установленном порядке, или его  копию с предъявлением оригинала для заверения копии Университетом, фотографию 3*4."
62,Как я могу узнать информацию о сумме задолженности?,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов необходимо обращаться в отдел платных образовательных услуг, написав на почту  udodep@utmn.ru  или позвонив по телефону (3452) 59-74-00, доб.14312, либо 14314, либо 14362.  Адрес отдела платных образовательных услуг: ул. Ленина, д.16, каб. 105. Для оплаты обучения материнским капиталом направьте запрос на получение документов на почту отдела платных образовательных услуг:  udodep@utmn.ru"
63,Можно ли оплатить обучение материнским капиталом?,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов необходимо обращаться в отдел платных образовательных услуг, написав на почту  udodep@utmn.ru  или позвонив по телефону (3452) 59-74-00, доб.14312, либо 14314, либо 14362.  Адрес отдела платных образовательных услуг: ул. Ленина, д.16, каб. 105. Для оплаты обучения материнским капиталом направьте запрос на получение документов на почту отдела платных образовательных услуг:  udodep@utmn.ru"
64,Где находится отдел платных образовательных услуг и как можно с ним связаться?,"По вопросам оплаты обучения, суммы задолженности, получения реквизитов необходимо обращаться в отдел платных образовательных услуг, написав на почту  udodep@utmn.ru  или позвонив по телефону (3452) 59-74-00, доб.14312, либо 14314, либо 14362.  Адрес отдела платных образовательных услуг: ул. Ленина, д.16, каб. 105. Для оплаты обучения материнским капиталом направьте запрос на получение документов на почту отдела платных образовательных услуг:  udodep@utmn.ru"
65,"Что мне нужно сделать, чтобы восстановить свой студенческий билет?","Для  восстановления студенческого билета  Вам необходимо подать заявление в Едином деканате (ул. Семакова, д.18, холл 3 этажа). При себе иметь фото 3*4 и паспорт.  Чтобы  продлить студенческий билет , необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт (ул. Семакова, д.18, каб.302 либо 305). Если Вы  потеряли магнитную карту  (пропуск, проходка), необходимо подать заявление на ее восстановление в Едином деканате (ул. Семакова, д.18, 3 этаж). При себе иметь паспорт или студенческий билет. Если Ваша  магнитная карта (пропуск, проходка) не работает , необходимо обратиться в Центр информационных технологий по адресу: ул. Ленина, д.23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет. Телефон Единого деканата: 8 (3452) 59-75-95, email:  ed@utmn.ru"
66,Как мне продлить свой студенческий билет?,"Для  восстановления студенческого билета  Вам необходимо подать заявление в Едином деканате (ул. Семакова, д.18, холл 3 этажа). При себе иметь фото 3*4 и паспорт.  Чтобы  продлить студенческий билет , необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт (ул. Семакова, д.18, каб.302 либо 305). Если Вы  потеряли магнитную карту  (пропуск, проходка), необходимо подать заявление на ее восстановление в Едином деканате (ул. Семакова, д.18, 3 этаж). При себе иметь паспорт или студенческий билет. Если Ваша  магнитная карта (пропуск, проходка) не работает , необходимо обратиться в Центр информационных технологий по адресу: ул. Ленина, д.23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет. Телефон Единого деканата: 8 (3452) 59-75-95, email:  ed@utmn.ru"
67,"Какие документы мне нужно иметь с собой, чтобы восстановить свою магнитную карту?","Для  восстановления студенческого билета  Вам необходимо подать заявление в Едином деканате (ул. Семакова, д.18, холл 3 этажа). При себе иметь фото 3*4 и паспорт.  Чтобы  продлить студенческий билет , необходимо подойти в Единый деканат к специалисту, курирующему Ваш институт (ул. Семакова, д.18, каб.302 либо 305). Если Вы  потеряли магнитную карту  (пропуск, проходка), необходимо подать заявление на ее восстановление в Едином деканате (ул. Семакова, д.18, 3 этаж). При себе иметь паспорт или студенческий билет. Если Ваша  магнитная карта (пропуск, проходка) не работает , необходимо обратиться в Центр информационных технологий по адресу: ул. Ленина, д.23, каб. 310. При себе иметь карту, паспорт либо продленый студенческий билет. Телефон Единого деканата: 8 (3452) 59-75-95, email:  ed@utmn.ru"
68,Что такое общежитие и какие типы общежитий существуют?,"По вопросам, касающимся общежития, обратитесь в Центр по работе с общежитиями. Адрес: ул. Красина, д.19 (общежитие №5), телефон: (3452) 59-75-69"
69,"Можно ли изменить адрес общежития после того, как уже там живешь?","По вопросам, касающимся общежития, обратитесь в Центр по работе с общежитиями. Адрес: ул. Красина, д.19 (общежитие №5), телефон: (3452) 59-75-69"
70,"Какие документы мне нужно предоставить, чтобы попасть в общежитие?","По вопросам, касающимся общежития, обратитесь в Центр по работе с общежитиями. Адрес: ул. Красина, д.19 (общежитие №5), телефон: (3452) 59-75-69"
71,"Что я должен сделать, чтобы выбрать спортивные секции по Физической культуре?","Выбор спортивных секций по Физической культуре будет проходить в ИС Модеус во вкладке ""Выбор модулей"".  Вам нужно будет выбрать 2 интересующие Вас спортивные секции, которые будут проходить каждую неделю в одно и то же время.  Ограничения: 1) Записаться можно не более чем на 2 занятия в неделю 2) Нельзя записываться на два занятия подряд.  Вас могут не допустить на занятие, если Вы были на предыдущей паре и/или уже посетили два занятия за неделю. При этом расписание на наличие конфликтов Вы проверяете самостоятельно в соответствии с Вашим расписанием в ИС Модеус и расписанием спортивных секций (во вложенных файлах). Ваш выбор пролонгируется до конца семестра, однако в любой момент Вы можете его изменить, отписавшись от одной секции и записавшись на другую. ВАЖНО!  Студент, пропустивший два занятия подряд, будет отписан автоматически. Выбор Физической культуры откроется 06.09.2023 и будет открыт до конца семестра.  Для успешной аттестации по дисциплине «Физическая культура: элективные курсы по видам спорта» Вы должны набрать не менее 61 балла по балльно-рейтинговой оценочной шкале. Для этого Вы можете: 1) Посещать академические занятия (3 балла за каждое занятие); 2) Принять участие в спортивно-массовых мероприятиях университета: Днях здорового образа жизни, Маршрут Дружбы, Кросс Наций, и других (0-10 баллов за каждое мероприятие). 3) Принять участите в соревнованиях по видам спорта (0 – 60 баллов); 4) Выполнить ВФСК ГТО (0 – 60 баллов). Для оформления посещения частного фитнес-клуба или тренажёрного зала вместо практических занятий по физкультуре студент к первому занятию по физической культуре представляет тренеру-преподавателю по спорту (куратору по физкультуре)  пакет документов  и приходит на зачётное мероприятие. ВАЖНО!!!  Все документы должны быть предоставлены в течение первой учебной недели. Список ответственных за прием документов спортзала по институтам (Ленина, 6):  1. ИГиП, Антропошкола – Пырлич Юлия Васильевна (y.v.pyrlich@utmn.ru) 2. СоцГум- Ерженин Владимир Сергеевич (v.s.erzhenin@utmn.ru) 3. ФЭИ - Копякова Анна Леонидовна (a.l.kopyakova@utmn.ru) 4. ИнЗем  - Питулин Артём Владимирович (a.v.pitulin@utmn.ru) 5. ФТИ, ИнХим, ШЕН –Пырлич Юлия Васильевна (y.v.pyrlich@utmn.ru) 6. ИнБио - Криводанова Наталья Александровна (n.a.krivodanova@utmn.ru) 7. Школа образования - Баянов Николай Ильич (n.i.bayanov@utmn.ru) 8. ШКН - Тверских Владислав Владимирович (vl.v.tverskikh@utmn.ru)"
72,Какие ограничения есть при записи на занятия и как я могу проверить расписание на наличие конфликтов?,"Выбор спортивных секций по Физической культуре будет проходить в ИС Модеус во вкладке ""Выбор модулей"".  Вам нужно будет выбрать 2 интересующие Вас спортивные секции, которые будут проходить каждую неделю в одно и то же время.  Ограничения: 1) Записаться можно не более чем на 2 занятия в неделю 2) Нельзя записываться на два занятия подряд.  Вас могут не допустить на занятие, если Вы были на предыдущей паре и/или уже посетили два занятия за неделю. При этом расписание на наличие конфликтов Вы проверяете самостоятельно в соответствии с Вашим расписанием в ИС Модеус и расписанием спортивных секций (во вложенных файлах). Ваш выбор пролонгируется до конца семестра, однако в любой момент Вы можете его изменить, отписавшись от одной секции и записавшись на другую. ВАЖНО!  Студент, пропустивший два занятия подряд, будет отписан автоматически. Выбор Физической культуры откроется 06.09.2023 и будет открыт до конца семестра.  Для успешной аттестации по дисциплине «Физическая культура: элективные курсы по видам спорта» Вы должны набрать не менее 61 балла по балльно-рейтинговой оценочной шкале. Для этого Вы можете: 1) Посещать академические занятия (3 балла за каждое занятие); 2) Принять участие в спортивно-массовых мероприятиях университета: Днях здорового образа жизни, Маршрут Дружбы, Кросс Наций, и других (0-10 баллов за каждое мероприятие). 3) Принять участите в соревнованиях по видам спорта (0 – 60 баллов); 4) Выполнить ВФСК ГТО (0 – 60 баллов). Для оформления посещения частного фитнес-клуба или тренажёрного зала вместо практических занятий по физкультуре студент к первому занятию по физической культуре представляет тренеру-преподавателю по спорту (куратору по физкультуре)  пакет документов  и приходит на зачётное мероприятие. ВАЖНО!!!  Все документы должны быть предоставлены в течение первой учебной недели. Список ответственных за прием документов спортзала по институтам (Ленина, 6):  1. ИГиП, Антропошкола – Пырлич Юлия Васильевна (y.v.pyrlich@utmn.ru) 2. СоцГум- Ерженин Владимир Сергеевич (v.s.erzhenin@utmn.ru) 3. ФЭИ - Копякова Анна Леонидовна (a.l.kopyakova@utmn.ru) 4. ИнЗем  - Питулин Артём Владимирович (a.v.pitulin@utmn.ru) 5. ФТИ, ИнХим, ШЕН –Пырлич Юлия Васильевна (y.v.pyrlich@utmn.ru) 6. ИнБио - Криводанова Наталья Александровна (n.a.krivodanova@utmn.ru) 7. Школа образования - Баянов Николай Ильич (n.i.bayanov@utmn.ru) 8. ШКН - Тверских Владислав Владимирович (vl.v.tverskikh@utmn.ru)"
73,Какие варианты для получения баллов по дисциплине «Физическая культура: элективные курсы по видам спорта» и как я могу их использовать для успешной аттестации?,"Выбор спортивных секций по Физической культуре будет проходить в ИС Модеус во вкладке ""Выбор модулей"".  Вам нужно будет выбрать 2 интересующие Вас спортивные секции, которые будут проходить каждую неделю в одно и то же время.  Ограничения: 1) Записаться можно не более чем на 2 занятия в неделю 2) Нельзя записываться на два занятия подряд.  Вас могут не допустить на занятие, если Вы были на предыдущей паре и/или уже посетили два занятия за неделю. При этом расписание на наличие конфликтов Вы проверяете самостоятельно в соответствии с Вашим расписанием в ИС Модеус и расписанием спортивных секций (во вложенных файлах). Ваш выбор пролонгируется до конца семестра, однако в любой момент Вы можете его изменить, отписавшись от одной секции и записавшись на другую. ВАЖНО!  Студент, пропустивший два занятия подряд, будет отписан автоматически. Выбор Физической культуры откроется 06.09.2023 и будет открыт до конца семестра.  Для успешной аттестации по дисциплине «Физическая культура: элективные курсы по видам спорта» Вы должны набрать не менее 61 балла по балльно-рейтинговой оценочной шкале. Для этого Вы можете: 1) Посещать академические занятия (3 балла за каждое занятие); 2) Принять участие в спортивно-массовых мероприятиях университета: Днях здорового образа жизни, Маршрут Дружбы, Кросс Наций, и других (0-10 баллов за каждое мероприятие). 3) Принять участите в соревнованиях по видам спорта (0 – 60 баллов); 4) Выполнить ВФСК ГТО (0 – 60 баллов). Для оформления посещения частного фитнес-клуба или тренажёрного зала вместо практических занятий по физкультуре студент к первому занятию по физической культуре представляет тренеру-преподавателю по спорту (куратору по физкультуре)  пакет документов  и приходит на зачётное мероприятие. ВАЖНО!!!  Все документы должны быть предоставлены в течение первой учебной недели. Список ответственных за прием документов спортзала по институтам (Ленина, 6):  1. ИГиП, Антропошкола – Пырлич Юлия Васильевна (y.v.pyrlich@utmn.ru) 2. СоцГум- Ерженин Владимир Сергеевич (v.s.erzhenin@utmn.ru) 3. ФЭИ - Копякова Анна Леонидовна (a.l.kopyakova@utmn.ru) 4. ИнЗем  - Питулин Артём Владимирович (a.v.pitulin@utmn.ru) 5. ФТИ, ИнХим, ШЕН –Пырлич Юлия Васильевна (y.v.pyrlich@utmn.ru) 6. ИнБио - Криводанова Наталья Александровна (n.a.krivodanova@utmn.ru) 7. Школа образования - Баянов Николай Ильич (n.i.bayanov@utmn.ru) 8. ШКН - Тверских Владислав Владимирович (vl.v.tverskikh@utmn.ru)"
111,"Какие дисциплины мне нужно переаттестировать, если я согласен на переаттестацию?","Я согласен (а) на переаттестацию дисциплин (ы), изученных (ной) мною 
ранее, указ анных (ной) в учебной кар точке/справке о периоде  
обучения  __________________, __________ _____ __________ _. 
                                  (да/нет)                           (подпись обучающегося)  
 
Я уведомлен  (а) о том, что до выхода приказа о переводе являюсь 
обучающимся того направления подготовки (специальности), профиля 
(специализации, магистерской программы), формы обучения, на которой 
числюсь, и обязан выполнять все обязательства, касающиеся образовательно го 
процесса, в том числе в части оплаты обучения в случае обучения на мест е по 
договору об оказании платных образовательных услуг  _____________ ____ ___. 
                                                                                                                  (подпись обучающегося)  
 
Я уведомлен о том, что в  соответствии с требованиями ФГОС ВО  
при возникновении превышения допустимых норм в части объема программы  
по количеству зачетных единиц  за один учебный год, согласен  (а) перевод  
с понижением курс а (ов) _____________ _____ ___. 
                                                     (подпись обучающегося)  
 
Отношусь к малочисленным народам севера  ____________________________ . 
                                                                                                    (да/нет)  
 
Отношус ь к льготным категориям граждан 
________________________________________________ ____________________  
(к детям -сиротам и детям, оставшимися без попечения родителей, или к лицам из их числа;  
к лицам, потерявшим в период обучения обоих родителей или единственного родителя;  
к детям -инвалидам, инвалидам I и II групп, инвалидам с детства; обучающемуся, получавшему 
государственную социальную помощь ; обучающемуся, подвергшегося воздействию радиации 
вследствие катастрофы на Чернобыльской АЭС и иных радиационных катастроф, вследствие 
ядерных испытаний на Семипалатинском полигоне; обучающемуся, являющимся инвалидом 
вследствие военной травмы или заболева ния, полученных в период прохождения военной 
службы; ветеранам боевых действий; обучающемуся в возрасте до 20 лет, у которого 
единственный родитель является инвалидом I группы)  
 
 
ФИО (указать полностью) ___________ Подпись обучающегося _____________  
 
Налич ие вакантных мест (количество) ________  
Увеличение периода обучения на 1 год (да/нет)  
Подпись, дата"
112,"Что мне нужно сделать, если я не согласен на переаттестацию дисциплин, которые я изучил ранее?","Я согласен (а) на переаттестацию дисциплин (ы), изученных (ной) мною 
ранее, указ анных (ной) в учебной кар точке/справке о периоде  
обучения  __________________, __________ _____ __________ _. 
                                  (да/нет)                           (подпись обучающегося)  
 
Я уведомлен  (а) о том, что до выхода приказа о переводе являюсь 
обучающимся того направления подготовки (специальности), профиля 
(специализации, магистерской программы), формы обучения, на которой 
числюсь, и обязан выполнять все обязательства, касающиеся образовательно го 
процесса, в том числе в части оплаты обучения в случае обучения на мест е по 
договору об оказании платных образовательных услуг  _____________ ____ ___. 
                                                                                                                  (подпись обучающегося)  
 
Я уведомлен о том, что в  соответствии с требованиями ФГОС ВО  
при возникновении превышения допустимых норм в части объема программы  
по количеству зачетных единиц  за один учебный год, согласен  (а) перевод  
с понижением курс а (ов) _____________ _____ ___. 
                                                     (подпись обучающегося)  
 
Отношусь к малочисленным народам севера  ____________________________ . 
                                                                                                    (да/нет)  
 
Отношус ь к льготным категориям граждан 
________________________________________________ ____________________  
(к детям -сиротам и детям, оставшимися без попечения родителей, или к лицам из их числа;  
к лицам, потерявшим в период обучения обоих родителей или единственного родителя;  
к детям -инвалидам, инвалидам I и II групп, инвалидам с детства; обучающемуся, получавшему 
государственную социальную помощь ; обучающемуся, подвергшегося воздействию радиации 
вследствие катастрофы на Чернобыльской АЭС и иных радиационных катастроф, вследствие 
ядерных испытаний на Семипалатинском полигоне; обучающемуся, являющимся инвалидом 
вследствие военной травмы или заболева ния, полученных в период прохождения военной 
службы; ветеранам боевых действий; обучающемуся в возрасте до 20 лет, у которого 
единственный родитель является инвалидом I группы)  
 
 
ФИО (указать полностью) ___________ Подпись обучающегося _____________  
 
Налич ие вакантных мест (количество) ________  
Увеличение периода обучения на 1 год (да/нет)  
Подпись, дата"
